Name,tuber_length
A97066-42,103.99
ACBrador,99.8
AdirondackBlue,95.75
AF2291-10,89.1
AF2376-5,80.06
AF2574-1,93.56
AllBlue,103.74
AlpineRusset,114.77
Alturas,99.34
Andover,80.88
AO96141-3,143.04
AO96160-3,117.35
AO96164-1,130.89
Atlantic,77.4
AWN86514-2,99.67
B1829-5,79.71
BannockRusset,113.34
BeaconChipper,90.8
Bintje,102.57
BlazerRusset,128.23
Boulder,88.41
C31-5-115,67.63
C31-5-120,56.97
C5,80.63
CanelaRusset,123.33
Cascade,103.74
CentennialRusset,94.32
Chieftain,87.47
Chipeta,95.1
Chippewa,87.37
ClassicRusset,110.27
ClearwaterRusset,117.61
CV96022-3,108.38
CV98112-3,124.43
DakotaCrisp,81.89
DakotaDiamond,80.91
DakotaJewel,74.23
DakotaPearl,77.7
DarkRedNorland,82.93
Defender,104.35
Denali,86.84
EarlyRose,101.44
Elba,85.24
Eramosa,82.89
Eva,83.69
Exploits,78.04
F02018,90.24
F58050,78.63
F66041,104.63
F87084,86.87
FreedomRusset,121.86
GarnetChile,83.98
GemStarRusset,124.53
GrandFalls,94.49
GreenMountain,108.96
HighlandRusset,116.72
Hindenburg,86.03
IdaRose,84.21
IncaGold,60.11
IrishCobbler,80.7
IvoryCrisp,81.35
JacquelineLee,89.09
Kalkaska,65.89
Katahdin,96.11
Kennebec,108.71
KeukaGold,85.65
KingHarry(NY131),76.75
KlamathRusset,121.06
LaChipper,80.59
Lamoka(NY139),89.43
Langlade,86.24
Lehigh,92.18
Lelah(W2717-5),78.32
Liberator,83.71
MaineChip,74.61
Marcy,87.5
MegaChip(W1201),84.7
MichiganPurple,90.06
Missaukee(MSJ461-1),75.03
MN02419,68.53
MN02467,122.98
MN02586,62.16
MN15620,95.64
MN18747,106.02
MN19298,69.87
MN19350,94.87
MN19470,86.81
MN96072-4,82.25
MN99380-1,85.14
Modoc,75.73
Monona,93.83
Monticello,77.58
MountainRose,86.39
MSG227-2,86.5
MSH228-6,83.25
MSI005-20Y,83.5
MSJ126-9Y,80.93
MSJ147-1,75.01
MSK061-4,77.71
MSK409-1,84.59
MSL211-3,83.76
MSL268-D,77.53
MSL292-A,63.35
MSL512-6,57.58
MSL766-1,82.38
MSM051-3,80.71
MSM171-A,98.42
MSM182-1,78.32
MSM246-B,73.08
MSN105-1,76.18
MSN191-2Y,79.14
MSN215-2P,77.38
MSP239-1,74.51
MSQ070-1,64.32
MSQ176-5,78.49
MSQ279-1,84.8
MSR061-1,71.33
MSR160-2Y,63.22
MWTX2609-2RU,132.27
ND1215-1,92.34
ND2858-1,81.99
ND8229-3,124.6
ND8555-8R,76.89
ND860-2,74.68
Nicolet(W2133-1),72.08
Norchip,76.95
NorDonna,74.74
Northstar,91.12
NorValley,79.82
Norwis(FL657),89.26
NY115,83.75
NY121,65.47
NY136,97.73
NY140,94.26
NY142,69.94
NYE48-2,87.74
Ontario,83.59
OR00002-7,NA
OR00068-11,74.55
PA99N82-4,86.93
Patagonia,101.5
PeterWilcox,84.06
Pike,73.71
POR01PG1-6,97.73
POR02PG37-2,72.04
PremierRusset,117.14
PrinceHairy(NY235-4),79.4
PurpleMajesty,77.69
PurplePeruvian,90.83
RangerRusset,119.84
Reba,95.04
RedMaria(NY129),81.52
ReevesKingpin,126.43
Rideau,87.34
RioGrandeRusset,114.68
RochdaleGold-Doree,75.41
Rosa,86.91
RussetBurbank,125.59
RussetNorkotah-S3,106.53
RussetNorkotah-S8,119.62
Salem,90.17
Satina,77.05
Sebago,94.98
SierraGold,85.74
SilvertonRusset,123.71
Snowden,72.73
Superior,90.61
TrailBlazerRusset(ROND95249-Russ),117.5
Tundra(W2310-3),82.86
UmatillaRusset,119.92
V1102-1,102.28
V1115-3,113.08
VillettaRose,73.34
W1151rus,113.9
W2253-5rus,108.65
W2309-7,81.7
W2683-2rus,118.82
W4013-1,71.94
WallowaRusset,122.54
Waneta(NY138),88.9
WesternRusset,110.84
WhitePearl,70.76
Willamette,NA
Winema,82.32
YankeeChipper,87.75
YukonGem,91.88
YukonGold,89.84
